Município ID,Município,Ano,Índice de Envelhecimento
4308078,Fazenda Vilanova - RS,2010,64.07
4308078,Fazenda Vilanova - RS,2022,91.49
4308102,Feliz - RS,2010,81.15
4308102,Feliz - RS,2022,134.04
4308201,Flores da Cunha - RS,2010,67.58
4308201,Flores da Cunha - RS,2022,122.08
4308250,Floriano Peixoto - RS,2010,127.05
4308250,Floriano Peixoto - RS,2022,310.33
4308300,Fontoura Xavier - RS,2010,53.54
4308300,Fontoura Xavier - RS,2022,123.71
4308409,Formigueiro - RS,2010,106.68
4308409,Formigueiro - RS,2022,186.79
4308433,Forquetinha - RS,2010,171.98
4308433,Forquetinha - RS,2022,260.20
4308458,Fortaleza dos Valos - RS,2010,70.96
4308458,Fortaleza dos Valos - RS,2022,119.17
4308508,Frederico Westphalen - RS,2010,65.09
4308508,Frederico Westphalen - RS,2022,105.09
4308607,Garibaldi - RS,2010,80.44
4308607,Garibaldi - RS,2022,134.01
4308656,Garruchos - RS,2010,67.48
4308656,Garruchos - RS,2022,153.95
4308706,Gaurama - RS,2010,115.02
4308706,Gaurama - RS,2022,208.22
4308805,General Câmara - RS,2010,83.78
4308805,General Câmara - RS,2022,156.44
4308854,Gentil - RS,2010,89.87
4308854,Gentil - RS,2022,113.06
4308904,Getúlio Vargas - RS,2010,92.05
4308904,Getúlio Vargas - RS,2022,146.85
4309001,Giruá - RS,2010,83.22
4309001,Giruá - RS,2022,139.65
4309050,Glorinha - RS,2010,79.62
4309050,Glorinha - RS,2022,122.58
4309100,Gramado - RS,2010,59.26
4309100,Gramado - RS,2022,92.65
4309126,Gramado dos Loureiros - RS,2010,63.11
4309126,Gramado dos Loureiros - RS,2022,151.86
4309159,Gramado Xavier - RS,2010,36.57
4309159,Gramado Xavier - RS,2022,97.57
4309209,Gravataí - RS,2010,46.03
4309209,Gravataí - RS,2022,95.08
4309258,Guabiju - RS,2010,136.86
4309258,Guabiju - RS,2022,279.78
4309308,Guaíba - RS,2010,50.38
4309308,Guaíba - RS,2022,101.82
4309407,Guaporé - RS,2010,73.89
4309407,Guaporé - RS,2022,117.93
4309506,Guarani das Missões - RS,2010,96.81
4309506,Guarani das Missões - RS,2022,189.11
4309555,Harmonia - RS,2010,77.06
4309555,Harmonia - RS,2022,113.56
4309571,Herveiras - RS,2010,51.54
4309571,Herveiras - RS,2022,102.44
4309605,Horizontina - RS,2010,79.71
4309605,Horizontina - RS,2022,128.58
4309654,Hulha Negra - RS,2010,41.11
4309654,Hulha Negra - RS,2022,89.51
4309704,Humaitá - RS,2010,103.36
4309704,Humaitá - RS,2022,188.22
4309753,Ibarama - RS,2010,59.48
4309753,Ibarama - RS,2022,154.23
4309803,Ibiaçá - RS,2010,115.80
4309803,Ibiaçá - RS,2022,202.85
4309902,Ibiraiaras - RS,2010,74.53
4309902,Ibiraiaras - RS,2022,144.85
4309951,Ibirapuitã - RS,2010,73.16
4309951,Ibirapuitã - RS,2022,139.24
4310009,Ibirubá - RS,2010,86.47
4310009,Ibirubá - RS,2022,118.94
4310108,Igrejinha - RS,2010,43.47
4310108,Igrejinha - RS,2022,82.34
4310207,Ijuí - RS,2010,74.00
4310207,Ijuí - RS,2022,114.90
4310306,Ilópolis - RS,2010,92.87
4310306,Ilópolis - RS,2022,176.06
4310330,Imbé - RS,2010,71.65
4310330,Imbé - RS,2022,135.13
4310363,Imigrante - RS,2010,165.01
4310363,Imigrante - RS,2022,194.77
4310405,Independência - RS,2010,92.57
4310405,Independência - RS,2022,158.33
4310413,Inhacorá - RS,2010,68.65
4310413,Inhacorá - RS,2022,140.70
4310439,Ipê - RS,2010,104.29
4310439,Ipê - RS,2022,190.29
4310462,Ipiranga do Sul - RS,2010,137.76
4310462,Ipiranga do Sul - RS,2022,222.63
4310504,Iraí - RS,2010,81.10
4310504,Iraí - RS,2022,132.32
4310538,Itaara - RS,2010,66.45
4310538,Itaara - RS,2022,141.05
4310553,Itacurubi - RS,2010,70.28
4310553,Itacurubi - RS,2022,149.90
4310579,Itapuca - RS,2010,65.90
4310579,Itapuca - RS,2022,143.04
4310603,Itaqui - RS,2010,44.00
4310603,Itaqui - RS,2022,85.72
4310652,Itati - RS,2010,89.49
4310652,Itati - RS,2022,140.09
4310702,Itatiba do Sul - RS,2010,86.12
4310702,Itatiba do Sul - RS,2022,204.95
4310751,Ivorá - RS,2010,127.02
4310751,Ivorá - RS,2022,279.06
4310801,Ivoti - RS,2010,53.69
4310801,Ivoti - RS,2022,101.45
4310850,Jaboticaba - RS,2010,68.39
4310850,Jaboticaba - RS,2022,154.83
4310876,Jacuizinho - RS,2010,66.06
4310876,Jacuizinho - RS,2022,136.31
4310900,Jacutinga - RS,2010,111.02
4310900,Jacutinga - RS,2022,210.52
4311007,Jaguarão - RS,2010,81.98
4311007,Jaguarão - RS,2022,133.13
4311106,Jaguari - RS,2010,124.95
4311106,Jaguari - RS,2022,211.97
4311122,Jaquirana - RS,2010,55.91
4311122,Jaquirana - RS,2022,112.75
4311130,Jari - RS,2010,79.38
4311130,Jari - RS,2022,147.43
4311155,Jóia - RS,2010,61.62
4311155,Jóia - RS,2022,143.49
4311205,Júlio de Castilhos - RS,2010,63.11
4311205,Júlio de Castilhos - RS,2022,124.13
4311239,Lagoa Bonita do Sul - RS,2010,61.59
4311239,Lagoa Bonita do Sul - RS,2022,151.79
4311254,Lagoão - RS,2010,52.22
4311254,Lagoão - RS,2022,110.11
4311270,Lagoa dos Três Cantos - RS,2010,138.11
4311270,Lagoa dos Três Cantos - RS,2022,155.70
4311304,Lagoa Vermelha - RS,2010,70.39
4311304,Lagoa Vermelha - RS,2022,109.25
4311403,Lajeado - RS,2010,59.01
4311403,Lajeado - RS,2022,86.61
4311429,Lajeado do Bugre - RS,2010,55.05
4311429,Lajeado do Bugre - RS,2022,84.27
4311502,Lavras do Sul - RS,2010,73.12
4311502,Lavras do Sul - RS,2022,130.51
4311601,Liberato Salzano - RS,2010,77.11
4311601,Liberato Salzano - RS,2022,150.69
4311627,Lindolfo Collor - RS,2010,31.63
4311627,Lindolfo Collor - RS,2022,61.40
4311643,Linha Nova - RS,2010,131.42
4311643,Linha Nova - RS,2022,223.47
4311700,Machadinho - RS,2010,79.90
4311700,Machadinho - RS,2022,136.74
4311718,Maçambará - RS,2010,41.98
4311718,Maçambará - RS,2022,104.98
4311734,Mampituba - RS,2010,59.05
4311734,Mampituba - RS,2022,111.44
4311759,Manoel Viana - RS,2010,67.55
4311759,Manoel Viana - RS,2022,137.30
4311775,Maquiné - RS,2010,78.49
4311775,Maquiné - RS,2022,138.92
4311791,Maratá - RS,2010,118.08
4311791,Maratá - RS,2022,191.20
4311809,Marau - RS,2010,54.71
4311809,Marau - RS,2022,89.73
4311908,Marcelino Ramos - RS,2010,107.31
4311908,Marcelino Ramos - RS,2022,213.82
4311981,Mariana Pimentel - RS,2010,100.86
4311981,Mariana Pimentel - RS,2022,182.92
4312005,Mariano Moro - RS,2010,97.72
4312005,Mariano Moro - RS,2022,220.24
4312054,Marques de Souza - RS,2010,151.04
4312054,Marques de Souza - RS,2022,216.87
4312104,Mata - RS,2010,101.22
4312104,Mata - RS,2022,177.61
4312138,Mato Castelhano - RS,2010,77.95
4312138,Mato Castelhano - RS,2022,116.17
4312153,Mato Leitão - RS,2010,82.97
4312153,Mato Leitão - RS,2022,129.05
4312179,Mato Queimado - RS,2010,117.14
4312179,Mato Queimado - RS,2022,169.23
4312203,Maximiliano de Almeida - RS,2010,88.42
4312203,Maximiliano de Almeida - RS,2022,181.16
4312252,Minas do Leão - RS,2010,51.83
4312252,Minas do Leão - RS,2022,100.70
4312302,Miraguaí - RS,2010,75.68
4312302,Miraguaí - RS,2022,132.54
4312351,Montauri - RS,2010,144.89
4312351,Montauri - RS,2022,249.73
4312377,Monte Alegre dos Campos - RS,2010,62.47
4312377,Monte Alegre dos Campos - RS,2022,119.17
4312385,Monte Belo do Sul - RS,2010,183.53
4312385,Monte Belo do Sul - RS,2022,278.03
4312401,Montenegro - RS,2010,57.92
4312401,Montenegro - RS,2022,95.98
4312427,Mormaço - RS,2010,78.19
4312427,Mormaço - RS,2022,146.30
4312443,Morrinhos do Sul - RS,2010,100.00
4312443,Morrinhos do Sul - RS,2022,172.98
4312450,Morro Redondo - RS,2010,121.40
4312450,Morro Redondo - RS,2022,180.56
4312476,Morro Reuter - RS,2010,82.23
4312476,Morro Reuter - RS,2022,150.73
4312500,Mostardas - RS,2010,66.57
4312500,Mostardas - RS,2022,115.64
4312609,Muçum - RS,2010,133.84
4312609,Muçum - RS,2022,188.56
4312617,Muitos Capões - RS,2010,61.17
4312617,Muitos Capões - RS,2022,95.20
4312625,Muliterno - RS,2010,63.68
4312625,Muliterno - RS,2022,140.27
4312658,Não-Me-Toque - RS,2010,77.23
4312658,Não-Me-Toque - RS,2022,104.57
4312674,Nicolau Vergueiro - RS,2010,92.64
4312674,Nicolau Vergueiro - RS,2022,143.28
